type,ID,MC,SF,CSM,_JWDWZZB__ID,_JWDWZZB__WD,_JWDWZZB__JD,
ZGCS,eff54807-2e0f-4716-8467-f56562b5562c,北京市北京市,北京市,北京市,eff54807-2e0f-4716-8467-f56562b5562c,39.904138,116.407112,
ZGCS,3217deab-eeb9-443b-ac36-dd6f0c034fdc,天津市天津市,天津市,天津市,3217deab-eeb9-443b-ac36-dd6f0c034fdc,39.13000573,117.1999887,
ZGCS,4063614c-f379-4f07-a3a8-b553343089c1,上海市上海市,上海市,上海市,4063614c-f379-4f07-a3a8-b553343089c1,31.230427,121.473523,
ZGCS,673f3ae1-0899-47e5-a39f-9bcba6c51bda,重庆市重庆市,重庆市,重庆市,673f3ae1-0899-47e5-a39f-9bcba6c51bda,29.54407809,106.5227016,
ZGCS,ebd659be-3dad-4e89-b172-9ab197fe9421,辽宁省沈阳市,辽宁省,沈阳市,ebd659be-3dad-4e89-b172-9ab197fe9421,41.80199341,123.3833914,
ZGCS,da4f215e-a0d1-4811-ac38-29693df824d8,辽宁省大连市,辽宁省,大连市,da4f215e-a0d1-4811-ac38-29693df824d8,38.94382049,121.5765993,
ZGCS,3476b07e-4d43-47f0-a31e-07157062c020,辽宁省鞍山市,辽宁省,鞍山市,3476b07e-4d43-47f0-a31e-07157062c020,41.11529924,122.9770044,
ZGCS,5b7a03f7-0cfc-42c8-a4df-332ecaf5f3da,辽宁省抚顺市,辽宁省,抚顺市,5b7a03f7-0cfc-42c8-a4df-332ecaf5f3da,41.8591993,123.9055447,
ZGCS,7bfc64cc-579c-4b8d-977a-a6cd225c9798,辽宁省本溪市,辽宁省,本溪市,7bfc64cc-579c-4b8d-977a-a6cd225c9798,41.30149307,123.7649534,
ZGCS,a8d1bd1d-74b6-4253-84e0-336a818cc91b,辽宁省丹东市,辽宁省,丹东市,a8d1bd1d-74b6-4253-84e0-336a818cc91b,40.10989985,124.3568851,
ZGCS,848324d2-e2d0-4c8b-9499-8a85b6770254,辽宁省锦州市,辽宁省,锦州市,848324d2-e2d0-4c8b-9499-8a85b6770254,41.11587866,121.1441509,
ZGCS,7cf1e85c-397d-44d0-a725-2bca01b96294,辽宁省营口市,辽宁省,营口市,7cf1e85c-397d-44d0-a725-2bca01b96294,40.68639574,122.277726,
